Direct,,,,
N,Seconds,MFLOP/s,% Bandwidth,Latency (in ns)
8388608,0.002562418,3273.707881,0,0
16777216,0.004975966,3371.650047,0,0
33554432,0.009822189,3416.186758,0,0
67108864,0.019169808,3500.758276,0,0
134217728,0.038438187,3491.780921,0,0
268435456,0.076564116,3506.02175,0,0
Vector,,,,
8388608,0.003290463,2549.370104,9.958476968,0.3922537565
16777216,0.006070953,2763.52263,10.79501027,0.361856997
33554432,0.012228655,2743.918444,10.71843142,0.3644423187
67108864,0.023320571,2877.668133,11.24089114,0.3475035876
134217728,0.043027933,3119.316189,12.18482886,0.3205830827
268435456,0.085438266,3141.864513,12.27290825,0.3182823434
Indirect,,,,
8388608,0.011964301,701.1364893,2.738814411,0.7131279111
16777216,0.067826146,247.3561744,0.9662350563,2.021376669
33554432,0.166177206,201.9195822,0.7887483678,2.476233333
67108864,0.371512299,180.6369915,0.7056132481,2.767982326
134217728,0.693137531,193.6379463,0.7563982277,2.58213852
268435456,4.064326215,66.04672996,0.2579950389,7.570397509
